temp_ambiente,cara_1,cara_2
25.01,46.57,45.73
25,46.54,45.68
25,46.49,45.64
25,46.47,45.59
25.01,46.47,45.55
25,46.44,45.52
24.99,46.41,45.49
24.98,46.39,45.46
24.97,46.35,45.4
24.95,46.32,45.36
24.94,46.3,45.31
24.94,46.27,45.25
24.94,46.23,45.21
24.96,46.21,45.17
24.95,46.17,45.14
24.95,46.13,45.07
24.95,46.14,45.07
24.94,46.08,45.01
24.95,46.07,44.99
24.95,46.01,44.99
24.97,45.88,44.91
24.96,45.95,44.93
24.95,45.85,44.9
24.95,45.81,44.84
24.94,45.78,44.83
24.91,45.73,44.77
24.92,45.65,44.66
24.9,45.61,44.6
24.89,45.61,44.66
24.86,45.57,44.62
24.84,45.53,44.64
24.82,45.49,44.56
24.81,45.41,44.5
24.81,45.36,44.46
24.79,45.33,44.43
24.77,45.27,44.4
24.77,45.25,44.39
24.76,45.21,44.35
24.75,45.15,44.27
24.76,45.08,44.24
24.76,45.05,44.2
24.78,44.96,44.16
24.79,44.94,44.12
24.8,44.92,44.06
24.81,44.85,44.01
24.84,44.84,44.01
24.85,44.77,43.96
24.86,44.76,43.94
24.86,44.73,43.87
24.86,44.69,43.83
24.86,44.67,43.84
24.85,44.65,43.82
24.83,44.6,43.76
24.81,44.62,43.75
24.81,44.54,43.66
24.81,44.5,43.63
24.8,44.43,43.59
24.81,44.41,43.57
24.82,44.36,43.53
24.84,44.34,43.5
24.85,44.29,43.47
24.85,44.26,43.43
24.86,44.22,43.39
24.87,44.18,43.34
24.89,44.15,43.3
24.9,44.1,43.27
24.91,44.08,43.25
24.92,44.02,43.18
24.92,43.98,43.15
24.93,43.93,43.12
24.93,43.89,43.07
24.95,43.86,43.04
24.95,43.82,43.02
24.97,43.76,42.99
24.97,43.74,42.95
24.98,43.71,42.94
24.98,43.68,42.9
24.99,43.63,42.87
25,43.6,42.82
25.01,43.59,42.78
25.02,43.55,42.77
25.02,43.49,42.73
25.04,43.49,42.73
25.04,43.42,42.69
25.05,43.43,42.69
25.05,43.39,42.63
25.05,43.35,42.6
25.07,43.32,42.55
25.08,43.22,42.47
25.08,43.21,42.53
25.07,43.28,42.47
25.1,43.15,42.4
25.11,43.19,42.43
25.11,43.17,42.41
25.12,43.12,42.33
25.12,43.05,42.29
25.12,43.02,42.25
25.13,42.97,42.23
25.13,42.94,42.18
25.14,42.9,42.16
25.14,42.87,42.12
25.15,42.82,42.08
25.15,42.79,42.04
25.16,42.77,42.02
25.16,42.74,42
25.16,42.72,41.99
25.17,42.69,41.95
25.17,42.65,41.92
25.18,42.64,41.89
25.19,42.58,41.89
25.19,42.56,41.86
25.19,42.54,41.84
25.19,42.51,41.79
25.17,42.47,41.77
25.16,42.4,41.72
25.15,42.37,41.71
25.14,42.34,41.68
25.12,42.32,41.64
25.1,42.3,41.62
25.08,42.27,41.61
25.07,42.23,41.58
25.06,42.18,41.54
25.05,42.14,41.48
25.03,42.11,41.48
25.02,42.05,41.44
24.99,42.02,41.42
24.98,42.02,41.39
24.99,41.99,41.35
25,41.94,41.33
24.99,41.92,41.3
25,41.88,41.29
24.98,41.85,41.27
24.99,41.74,41.21
24.97,41.81,41.21
24.97,41.74,41.16
24.95,41.69,41.15
24.95,41.68,41.12
24.95,41.66,41.11
24.95,41.64,41.08
24.96,41.62,41.04
24.95,41.58,41.03
24.95,41.55,41.01
24.93,41.53,41
24.91,41.5,40.98
24.9,41.46,40.93
24.9,41.46,40.92
24.9,41.42,40.89
24.9,41.36,40.86
24.89,41.32,40.82
24.89,41.31,40.79
24.89,41.28,40.77
24.89,41.24,40.73
24.88,41.23,40.73
24.87,41.16,40.68
24.87,41.11,40.67
24.88,41.1,40.64
24.9,41.06,40.61
24.91,41.01,40.58
24.92,40.98,40.56
24.9,40.95,40.55
24.88,40.94,40.52
24.86,40.91,40.49
24.84,40.87,40.46
24.83,40.83,40.41
24.83,40.83,40.37
24.83,40.79,40.36
24.83,40.77,40.33
24.83,40.77,40.29
24.84,40.74,40.34
24.84,40.7,40.24
24.86,40.62,40.14
24.86,40.6,40.14
24.84,40.58,40.2
24.84,40.55,40.14
