temp_amb;cara_1;cara_2;corriente;tiempo;diferencia
26,4;106,36;65,54;1,279139638;345276;40,82
26,4;106,45;65,66;1,282150383;345184;40,79
26,41;106,62;65,75;1,279999852;345100;40,87
26,42;106,7;65,88;1,280429955;344476;40,82
26,44;106,83;65,99;1,278709531;344264;40,84
26,43;106,96;66,1;1,282150383;344260;40,86
26,44;107,1;66,23;1,277849317;344464;40,87
26,44;107,2;66,32;1,280429955;344652;40,88
26,44;107,28;66,45;1,278279424;345004;40,83
26,45;107,35;66,54;1,277849317;345064;40,81
26,44;107,48;66,69;1,277849317;345176;40,79
26,45;107,55;66,78;1,275268674;345284;40,77
26,46;107,67;66,91;1,278279424;345316;40,76
26,45;107,83;66,96;1,276558995;345268;40,87
26,47;107,91;67,08;1,279139638;345244;40,83
26,46;108,03;67,2;1,276558995;345312;40,83
26,46;108,14;67,23;1,277849317;345324;40,91
26,47;108,24;67,29;1,276128888;345344;40,95
26,48;108,29;67,4;1,273548245;345332;40,89
26,47;108,39;67,49;1,276558995;345364;40,9
26,46;108,52;67,6;1,27440846;345332;40,92
26,48;108,59;67,76;1,276558995;345196;40,83
26,49;108,68;67,87;1,27440846;345284;40,81
26,49;108,8;67,97;1,275268674;345152;40,83
26,49;108,9;68,08;1,274838567;345156;40,82
26,49;109;68,17;1,27139771;345072;40,83
26,5;109,1;68,28;1,274838567;345040;40,82
26,5;109,2;68,35;1,27440846;345068;40,85
26,5;109,26;68,44;1,275698781;345028;40,82
26,52;109,35;68,54;1,272688031;345192;40,81
26,5;109,48;68,66;1,276989102;345128;40,82
26,5;109,61;68,75;1,273548245;345068;40,86
26,5;109,7;68,88;1,270107388;345252;40,82
26,49;109,8;68,97;1,275268674;345308;40,83
26,5;109,96;69,08;1,273978353;345272;40,88
26,5;110,04;69,17;1,276128888;345316;40,87
26,49;110,12;69,3;1,272257924;345124;40,82
26,5;110,21;69,37;1,273978353;345280;40,84
26,5;110,32;69,43;1,273978353;345316;40,89
26,49;110,39;69,49;1,272688031;345288;40,9
26,5;110,55;69,56;1,273548245;345000;40,99
26,5;110,68;69,64;1,270537496;344812;41,04
26,5;110,74;69,71;1,273978353;345016;41,03
26,5;110,83;69,85;1,270967603;345032;40,98
26,49;110,93;69,93;1,272688031;344956;41
26,5;111,03;70,05;1,270967603;344964;40,98
26,49;111,08;70,19;1,269247174;345124;40,89
26,49;111,16;70,3;1,269247174;345160;40,86
26,49;111,23;70,35;1,26838696;345224;40,88
26,48;111,3;70,44;1,270537496;345344;40,86
26,48;111,38;70,54;1,267526746;345304;40,84
26,48;111,43;70,61;1,271827817;345176;40,82
26,47;111,49;70,72;1,269247174;345204;40,77
26,47;111,55;70,83;1,267096639;344840;40,72
26,47;111,62;70,88;1,269677281;344956;40,74
26,46;111,67;70,97;1,267956853;344824;40,7
26,46;111,71;71,06;1,268817067;344772;40,65
26,46;111,79;71,15;1,266666532;344820;40,64
26,45;111,88;71,22;1,270967603;344792;40,66
26,45;111,96;71,33;1,267956853;344776;40,63
26,44;112,05;71,41;1,269247174;344812;40,64
26,43;112,1;71,5;1,26838696;344856;40,6
26,43;112,17;71,62;1,268817067;344928;40,55
26,43;112,27;71,72;1,266666532;344924;40,55
26,42;112,37;71,79;1,26537621;344936;40,58
26,42;112,46;71,9;1,26838696;345028;40,56
26,41;112,52;71,95;1,266666532;345060;40,57
26,42;112,56;72,01;1,267096639;344984;40,55
26,42;112,56;72,09;1,265806317;345092;40,47
26,42;112,65;72,18;1,269677281;345160;40,47
26,42;112,7;72,23;1,266666532;345144;40,47
26,42;112,76;72,28;1,26537621;345232;40,48
26,42;112,86;72,36;1,265806317;345160;40,5
